date,product_id,brand,product,volume,type,current_price,original_price,discount,sold_quantity,sold_out,url,market_id
28-02-2024,BP_167144,貴州,貴州 茅台酒,500ML,中國酒,"$4,480.00","$5,288.00",,[],0,https://www.pns.hk/zh-hk/%E8%8C%85%E5%8F%B0%E9%85%92/p/BP_167144,parknshop
28-02-2024,BP_125891,紅萬壽,紅萬壽 花雕酒,750ML,中國酒,$48.90,$48.90,,[],0,https://www.pns.hk/zh-hk/%E8%8A%B1%E9%9B%95%E9%85%92/p/BP_125891,parknshop
28-02-2024,BP_158285,波爾多力卡巴頓,波爾多力卡巴頓 白酒,75CL,白酒,$119.00,$119.00,,[],0,https://www.pns.hk/zh-hk/%E7%99%BD%E9%85%92/p/BP_158285,parknshop
28-02-2024,BP_488006,朝日,朝日 無酒精啤酒,350ML,啤酒,$14.90,$14.90,送贈品,['已售 800+'],0,https://www.pns.hk/zh-hk/%E7%84%A1%E9%85%92%E7%B2%BE%E5%95%A4%E9%85%92/p/BP_488006,parknshop
28-02-2024,BP_118811,三得利,三得利 啤酒,500MLX4,啤酒,$69.90,$69.90,送贈品,['已售 100+'],0,https://www.pns.hk/zh-hk/%E5%95%A4%E9%85%92/p/BP_118811,parknshop
28-02-2024,BP_131473,GS25 X NETFLIX,GS25 X NETFLIX 啤酒,500ML,啤酒,$16.90,$16.90,送贈品,[],0,https://www.pns.hk/zh-hk/%E5%95%A4%E9%85%92/p/BP_131473,parknshop
28-02-2024,BP_446372,BORN ROSE,BORN ROSE 玫瑰酒,250ML,玫瑰酒,$30.00,$30.00,,[],0,https://www.pns.hk/zh-hk/%E7%8E%AB%E7%91%B0%E9%85%92/p/BP_446372,parknshop
28-02-2024,BP_110314,YEBISU,YEBISU 啤酒,350MLX6,啤酒,$90.00,$90.00,送贈品,[],0,https://www.pns.hk/zh-hk/%E5%95%A4%E9%85%92/p/BP_110314,parknshop
28-02-2024,BP_415789,MCCORMICK,MCCORMICK 氈酒,1L,烈酒,$119.00,$119.00,,[],0,https://www.pns.hk/zh-hk/%E6%B0%88%E9%85%92/p/BP_415789,parknshop
28-02-2024,BP_415616,MONKEY47,MONKEY47 氈酒,500ML,烈酒,$680.00,$699.00,,[],0,https://www.pns.hk/zh-hk/%E6%B0%88%E9%85%92/p/BP_415616,parknshop
28-02-2024,BP_395894,KING,KING 清酒,1.8L,日本酒,$36.90,$36.90,,[],0,https://www.pns.hk/zh-hk/%E6%B8%85%E9%85%92/p/BP_395894,parknshop
28-02-2024,BP_120775,CASILLERO DEL DIABLO,CASILLERO DEL DIABLO 紅酒,75CL,紅酒,$59.00,$89.00,,['已售 200+'],0,https://www.pns.hk/zh-hk/%E7%B4%85%E9%85%92/p/BP_120775,parknshop
28-02-2024,BP_120800,CASILLERO DEL DIABLO,CASILLERO DEL DIABLO 紅酒,75CL,紅酒,$89.00,$89.00,,['已售 100+'],0,https://www.pns.hk/zh-hk/%E7%B4%85%E9%85%92/p/BP_120800,parknshop
28-02-2024,BP_120645,LA VIEILLE FERME,LA VIEILLE FERME 紅酒,75CL,紅酒,$79.00,$79.00,,[],0,https://www.pns.hk/zh-hk/%E7%B4%85%E9%85%92/p/BP_120645,parknshop
28-02-2024,BP_119794,MAISON CASTEL,MAISON CASTEL 玫瑰酒,75CL,玫瑰酒,$59.00,$59.00,$68 / 2件,[],0,https://www.pns.hk/zh-hk/%E7%8E%AB%E7%91%B0%E9%85%92/p/BP_119794,parknshop
28-02-2024,BP_450036,MICHEL LYNCH,MICHEL LYNCH 紅酒,75CL,紅酒,$100.00,$100.00,,[],0,https://www.pns.hk/zh-hk/%E7%B4%85%E9%85%92/p/BP_450036,parknshop
28-02-2024,BP_386126,三得利,三得利 啤酒,350MLX6,啤酒,$79.90,$79.90,送贈品,['已售 100+'],0,https://www.pns.hk/zh-hk/%E5%95%A4%E9%85%92/p/BP_386126,parknshop
28-02-2024,BP_188160,三生牌,三生牌 人參酒,900ML,滋補酒,$96.80,$125.00,,[],0,https://www.pns.hk/zh-hk/%E4%BA%BA%E5%8F%83%E9%85%92/p/BP_188160,parknshop
28-02-2024,BP_385689,JEAN VALESTREL,JEAN VALESTREL 玫瑰酒,75CL,玫瑰酒,$89.00,$89.00,,[],0,https://www.pns.hk/zh-hk/%E7%8E%AB%E7%91%B0%E9%85%92/p/BP_385689,parknshop
28-02-2024,BP_184625,騎士,騎士 啤酒,330MLX24,啤酒,$64.90,$64.90,送贈品,['已售 3k+'],0,https://www.pns.hk/zh-hk/%E5%95%A4%E9%85%92/p/BP_184625,parknshop
28-02-2024,BP_169169,芳絲亞,芳絲亞 紅酒,3L,紅酒,$98.00,$109.00,$138 / 2件,['已售 600+'],0,https://www.pns.hk/zh-hk/%E7%B4%85%E9%85%92/p/BP_169169,parknshop
28-02-2024,BP_168939,,波爾多酒窖精選 紅酒,75CL,紅酒,$69.00,$69.00,$88 / 2件,[],0,https://www.pns.hk/zh-hk/%E7%B4%85%E9%85%92/p/BP_168939,parknshop
