market_id,url,market_name_zh
parknshop,"""https://www.pns.hk/zh-hk/search?text=%E9%85%92&useDefaultSearch=false&brandRedirect=true&q=%E9%85%92:mostRelevant:categoryNameLevel2:04012000""",百佳
wellcome,https://www.wellcome.com.hk/zh-hant/category/100001/1.html,惠康
